#      distance  UPrime2Mean_xx  UPrime2Mean_xy  UPrime2Mean_xz  UPrime2Mean_yy  UPrime2Mean_yz  UPrime2Mean_zz
      1.0050251               0               0               0               0               0               0
      2.0100503               0               0               0               0               0               0
      3.0150754               0               0               0               0               0               0
      4.0201005               0               0               0               0               0               0
      5.0251256               0               0               0               0               0               0
      6.0301508               0               0               0               0               0               0
      7.0351759               0               0               0               0               0               0
       8.040201               0               0               0               0               0               0
      9.0452261               0               0               0               0               0               0
      10.050251               0               0               0               0               0               0
      11.055276               0               0               0               0               0               0
      12.060302               0               0               0               0               0               0
      13.065327               0               0               0               0               0               0
      14.070352               0               0               0               0               0               0
      15.075377               0               0               0               0               0               0
      16.080402               0               0               0               0               0               0
      17.085427               0               0               0               0               0               0
      18.090452               0               0               0               0               0               0
      19.095477               0               0               0               0               0               0
      20.100503               0               0               0               0               0               0
      21.105528               0               0               0               0               0               0
      22.110553               0               0               0               0               0               0
      23.115578               0               0               0               0               0               0
      24.120603               0               0               0               0               0               0
      25.125628               0               0               0               0               0               0
      26.130653               0               0               0               0               0               0
      27.135678               0               0               0               0               0               0
      28.140704               0               0               0               0               0               0
      29.145729               0               0               0               0               0               0
      30.150754               0               0               0               0               0               0
      31.155779               0               0               0               0               0               0
      32.160804               0               0               0               0               0               0
      33.165829               0               0               0               0               0               0
      34.170854               0               0               0               0               0               0
      35.175879               0               0               0               0               0               0
      36.180905               0               0               0               0               0               0
       37.18593               0               0               0               0               0               0
      38.190955               0               0               0               0               0               0
       39.19598               0               0               0               0               0               0
      40.201005               0               0               0               0               0               0
       41.20603               0               0               0               0               0               0
      42.211055               0               0               0               0               0               0
       43.21608               0               0               0               0               0               0
      44.221106               0               0               0               0               0               0
      45.226131               0               0               0               0               0               0
      46.231156               0               0               0               0               0               0
      47.236181               0               0               0               0               0               0
      48.241206               0               0               0               0               0               0
      49.246231               0               0               0               0               0               0
      50.251256               0               0               0               0               0               0
      51.256281               0               0               0               0               0               0
      52.261307               0               0               0               0               0               0
      53.266332               0               0               0               0               0               0
      54.271357               0               0               0               0               0               0
      55.276382               0               0               0               0               0               0
      56.281407               0               0               0               0               0               0
      57.286432               0               0               0               0               0               0
      58.291457               0               0               0               0               0               0
      59.296482               0               0               0               0               0               0
      60.301508               0               0               0               0               0               0
      61.306533               0               0               0               0               0               0
      62.311558               0               0               0               0               0               0
      63.316583               0               0               0               0               0               0
      64.321608               0               0               0               0               0               0
      65.326633               0               0               0               0               0               0
      66.331658               0               0               0               0               0               0
      67.336683               0               0               0               0               0               0
      68.341709               0               0               0               0               0               0
      69.346734               0               0               0               0               0               0
      70.351759               0               0               0               0               0               0
      71.356784               0               0               0               0               0               0
      72.361809               0               0               0               0               0               0
      73.366834               0               0               0               0               0               0
      74.371859               0               0               0               0               0               0
      75.376884               0               0               0               0               0               0
       76.38191               0               0               0               0               0               0
      77.386935               0               0               0               0               0               0
       78.39196               0               0               0               0               0               0
      79.396985               0               0               0               0               0               0
       80.40201               0               0               0               0               0               0
      81.407035               0               0               0               0               0               0
       82.41206               0               0               0               0               0               0
      83.417085               0               0               0               0               0               0
      84.422111               0               0               0               0               0               0
