#    distance           U_x           U_y           U_z
      1.00503      0.999992   1.85262e-06             0
      2.01005      0.999978    7.5769e-07             0
      3.01508      0.999962  -1.71033e-07             0
       4.0201      0.999945  -1.09976e-06             0
      5.02513      0.999928  -2.02848e-06             0
      6.03015      0.999908   2.68526e-06             0
      7.03518      0.999874    6.6517e-06             0
       8.0402       0.99984   5.23594e-06             0
      9.04523      0.999798  -3.98501e-07             0
      10.0503      0.999753  -8.49432e-06             0
      11.0553      0.999701  -2.62557e-06             0
      12.0603      0.999643   3.51957e-06             0
      13.0653      0.999576   7.94755e-06             0
      14.0704      0.999497   8.22461e-06             0
      15.0754      0.999414   8.28831e-06             0
      16.0804      0.999316   8.47878e-06             0
      17.0854      0.999218   8.66924e-06             0
      18.0905       0.99912    8.8597e-06             0
      19.0955      0.999013   1.61423e-05             0
      20.1005      0.998882   1.91637e-05             0
      21.1055      0.998748   1.78422e-05             0
      22.1106       0.99861   7.32247e-06             0
      23.1156      0.998462   1.20821e-05             0
      24.1206      0.998303   1.95962e-05             0
      25.1256      0.998128   2.25289e-05             0
      26.1307      0.997944   2.42519e-05             0
      27.1357      0.997742   2.16141e-05             0
      28.1407      0.997537   1.84579e-05             0
      29.1457      0.997333   1.53017e-05             0
      30.1508      0.997109   1.33648e-05             0
      31.1558      0.996862   8.84489e-06             0
      32.1608      0.996608  -6.54574e-06             0
      33.1658      0.996348  -1.77886e-05             0
      34.1709      0.996069  -2.53498e-05             0
      35.1759       0.99578  -2.12753e-05             0
      36.1809      0.995482  -1.17281e-05             0
      37.1859       0.99518     2.934e-06             0
       38.191      0.994838    2.8609e-05             0
       39.196       0.99446   3.61712e-05             0
       40.201      0.994055   2.49843e-05             0
       41.206      0.993628   4.80751e-05             0
      42.2111      0.993196   3.45166e-05             0
      43.2161      0.992739   -1.6777e-05             0
      44.2211      0.992157  -1.83159e-05             0
      45.2261      0.991601  -4.85514e-05             0
      46.2312       0.99116  -2.91551e-05             0
      47.2362      0.990595  -5.52399e-05             0
      48.2412      0.989987  -8.21112e-05             0
      49.2462      0.989339  -6.48237e-05             0
      50.2513      0.988654  -8.12429e-05             0
      51.2563      0.987926  -0.000125477             0
      52.2613      0.987213  -0.000107414             0
      53.2663      0.986409  -0.000138845             0
      54.2714      0.985455  -0.000143514             0
      55.2764      0.984721  -8.89184e-05             0
      56.2814      0.983727  -4.01253e-05             0
      57.2864      0.982714   2.15129e-05             0
      58.2915      0.981697    0.00010209             0
      59.2965      0.980659   2.77358e-05             0
      60.3015      0.979361  -0.000269744             0
      61.3065      0.978195  -7.61722e-05             0
      62.3116      0.976892   2.17367e-05             0
      63.3166      0.975344   -0.00011579             0
      64.3216      0.973801  -0.000282639             0
      65.3266      0.972298  -0.000271586             0
      66.3317      0.970459   -0.00032785             0
      67.3367      0.968708  -0.000323055             0
      68.3417      0.966669  -0.000255339             0
      69.3467      0.964524  -0.000272359             0
      70.3518      0.962208     -0.000247             0
      71.3568      0.959724  -8.64562e-05             0
      72.3618      0.956901   0.000100889             0
      73.3668      0.954176   1.37075e-05             0
      74.3719      0.951072  -0.000130109             0
      75.3769      0.947556  -9.80398e-05             0
      76.3819      0.943712   0.000137971             0
      77.3869      0.939589   0.000114534             0
       78.392      0.935057  -0.000191055             0
       79.397      0.930044   0.000137703             0
       80.402      0.924418   8.35061e-05             0
       81.407       0.91809  -7.05257e-05             0
      82.4121      0.911058   0.000400685             0
      83.4171      0.903211  -1.49517e-05             0
      84.4221      0.894254  -0.000280759             0
      85.4271      0.883782  -0.000747175             0
      86.4322       0.87133  -0.000572204             0
      87.4372      0.857685  -0.000273952             0
      88.4422      0.840432  -0.000586863             0
      89.4472       0.82015  -0.000555928             0
      90.4523      0.797547  -0.000147025             0
      91.4573      0.763349   -0.00144587             0
      92.4623      0.723974   -0.00119657             0
      93.4673      0.673482    0.00013874             0
      94.4724      0.614146   -0.00037418             0
      95.4774      0.560359   6.88353e-05             0
      96.4824      0.516332   0.000184352             0
      97.4874      0.481729   0.000585075             0
      98.4925      0.449996   0.000329877             0
      99.4975      0.422173  -8.58045e-05             0
      100.503      0.394984    0.00112225             0
