# Region type : faceZone InSurface
# Faces  :      505
# Area   :      4.00664795e+01
# Time          	areaAverage(surfaceInterpolate(p))
0.002           
0.042           	0.00000000e+00
0.178           	0.00000000e+00
0.338           	0.00000000e+00
0.532           	0.00000000e+00
0.732           	0.00000000e+00
0.932           	0.00000000e+00
1.132           	0.00000000e+00
1.332           	0.00000000e+00
1.532           	0.00000000e+00
1.732           	0.00000000e+00
1.932           	0.00000000e+00
2.132           	2.53195919e-01
2.332           	2.53195919e-01
2.532           	2.53195919e-01
2.732           	2.53195919e-01
2.932           	2.53195919e-01
3.132           	2.53195919e-01
3.332           	2.53195919e-01
3.532           	2.53195919e-01
3.732           	2.53195919e-01
3.932           	2.53195919e-01
4.132           	2.13247506e-01
4.332           	2.13247506e-01
4.532           	2.13247506e-01
4.732           	2.13247506e-01
4.932           	2.13247506e-01
5.132           	2.13247506e-01
5.332           	2.13247506e-01
5.532           	2.13247506e-01
5.732           	2.13247506e-01
5.932           	2.13247506e-01
6.132           	1.86176066e-01
6.332           	1.86176066e-01
6.532           	1.86176066e-01
6.732           	1.86176066e-01
6.932           	1.86176066e-01
7.132           	1.86176066e-01
7.332           	1.86176066e-01
7.532           	1.86176066e-01
7.732           	1.86176066e-01
7.932           	1.86176066e-01
8.132           	1.71902243e-01
8.332           	1.71902243e-01
8.532           	1.71902243e-01
8.732           	1.71902243e-01
8.932           	1.71902243e-01
9.132           	1.71902243e-01
9.332           	1.71902243e-01
9.532           	1.71902243e-01
9.732           	1.71902243e-01
9.932           	1.71902243e-01
10.132          	1.64630057e-01
10.332          	1.64630057e-01
10.532          	1.64630057e-01
10.732          	1.64630057e-01
10.932          	1.64630057e-01
11.132          	1.64630057e-01
11.332          	1.64630057e-01
11.532          	1.64630057e-01
11.732          	1.64630057e-01
11.932          	1.64630057e-01
12.132          	1.62652272e-01
12.332          	1.62652272e-01
12.532          	1.62652272e-01
12.732          	1.62652272e-01
12.932          	1.62652272e-01
13.132          	1.62652272e-01
13.332          	1.62652272e-01
13.532          	1.62652272e-01
13.732          	1.62652272e-01
13.932          	1.62652272e-01
14.132          	1.72387334e-01
14.332          	1.72387334e-01
14.532          	1.72387334e-01
14.732          	1.72387334e-01
14.932          	1.72387334e-01
15.132          	1.72387334e-01
15.332          	1.72387334e-01
15.532          	1.72387334e-01
15.732          	1.72387334e-01
15.932          	1.72387334e-01
16.132          	1.54571640e-01
16.332          	1.54571640e-01
16.532          	1.54571640e-01
16.732          	1.54571640e-01
16.932          	1.54571640e-01
17.132          	1.54571640e-01
17.332          	1.54571640e-01
17.532          	1.54571640e-01
17.732          	1.54571640e-01
17.932          	1.54571640e-01
18.132          	1.62202281e-01
18.332          	1.62202281e-01
18.532          	1.62202281e-01
18.732          	1.62202281e-01
18.932          	1.62202281e-01
19.132          	1.62202281e-01
19.332          	1.62202281e-01
19.532          	1.62202281e-01
19.732          	1.62202281e-01
19.932          	1.62202281e-01
20.132          	1.53416985e-01
20.332          	1.53416985e-01
20.532          	1.53416985e-01
20.732          	1.53416985e-01
20.932          	1.53416985e-01
21.132          	1.53416985e-01
21.332          	1.53416985e-01
21.532          	1.53416985e-01
21.732          	1.53416985e-01
21.932          	1.53416985e-01
22.132          	1.65336212e-01
22.332          	1.65336212e-01
22.532          	1.65336212e-01
22.732          	1.65336212e-01
22.932          	1.65336212e-01
23.132          	1.65336212e-01
23.332          	1.65336212e-01
23.532          	1.65336212e-01
23.732          	1.65336212e-01
23.932          	1.65336212e-01
24.132          	1.58731653e-01
24.332          	1.58731653e-01
24.532          	1.58731653e-01
24.732          	1.58731653e-01
24.932          	1.58731653e-01
25.132          	1.58731653e-01
25.332          	1.58731653e-01
25.532          	1.58731653e-01
25.732          	1.58731653e-01
25.932          	1.58731653e-01
26.132          	1.65673444e-01
26.332          	1.65673444e-01
26.532          	1.65673444e-01
26.732          	1.65673444e-01
26.932          	1.65673444e-01
27.132          	1.65673444e-01
27.332          	1.65673444e-01
27.532          	1.65673444e-01
