# Region type : faceZone OutSurface
# Faces  :      514
# Area   :      4.06369499e+01
# Time          	areaAverage(surfaceInterpolate(p))
0.002           
0.042           	0.00000000e+00
0.178           	0.00000000e+00
0.338           	0.00000000e+00
0.532           	0.00000000e+00
0.732           	0.00000000e+00
0.932           	0.00000000e+00
1.132           	0.00000000e+00
1.332           	0.00000000e+00
1.532           	0.00000000e+00
1.732           	0.00000000e+00
1.932           	0.00000000e+00
2.132           	-1.31651681e-01
2.332           	-1.31651681e-01
2.532           	-1.31651681e-01
2.732           	-1.31651681e-01
2.932           	-1.31651681e-01
3.132           	-1.31651681e-01
3.332           	-1.31651681e-01
3.532           	-1.31651681e-01
3.732           	-1.31651681e-01
3.932           	-1.31651681e-01
4.132           	-5.12699669e-02
4.332           	-5.12699669e-02
4.532           	-5.12699669e-02
4.732           	-5.12699669e-02
4.932           	-5.12699669e-02
5.132           	-5.12699669e-02
5.332           	-5.12699669e-02
5.532           	-5.12699669e-02
5.732           	-5.12699669e-02
5.932           	-5.12699669e-02
6.132           	-2.45822129e-02
6.332           	-2.45822129e-02
6.532           	-2.45822129e-02
6.732           	-2.45822129e-02
6.932           	-2.45822129e-02
7.132           	-2.45822129e-02
7.332           	-2.45822129e-02
7.532           	-2.45822129e-02
7.732           	-2.45822129e-02
7.932           	-2.45822129e-02
8.132           	-6.83091683e-02
8.332           	-6.83091683e-02
8.532           	-6.83091683e-02
8.732           	-6.83091683e-02
8.932           	-6.83091683e-02
9.132           	-6.83091683e-02
9.332           	-6.83091683e-02
9.532           	-6.83091683e-02
9.732           	-6.83091683e-02
9.932           	-6.83091683e-02
10.132          	-1.02566315e-01
10.332          	-1.02566315e-01
10.532          	-1.02566315e-01
10.732          	-1.02566315e-01
10.932          	-1.02566315e-01
11.132          	-1.02566315e-01
11.332          	-1.02566315e-01
11.532          	-1.02566315e-01
11.732          	-1.02566315e-01
11.932          	-1.02566315e-01
12.132          	-1.37221377e-01
12.332          	-1.37221377e-01
12.532          	-1.37221377e-01
12.732          	-1.37221377e-01
12.932          	-1.37221377e-01
13.132          	-1.37221377e-01
13.332          	-1.37221377e-01
13.532          	-1.37221377e-01
13.732          	-1.37221377e-01
13.932          	-1.37221377e-01
14.132          	-1.99141647e-01
14.332          	-1.99141647e-01
14.532          	-1.99141647e-01
14.732          	-1.99141647e-01
14.932          	-1.99141647e-01
15.132          	-1.99141647e-01
15.332          	-1.99141647e-01
15.532          	-1.99141647e-01
15.732          	-1.99141647e-01
15.932          	-1.99141647e-01
16.132          	-1.69641540e-01
16.332          	-1.69641540e-01
16.532          	-1.69641540e-01
16.732          	-1.69641540e-01
16.932          	-1.69641540e-01
17.132          	-1.69641540e-01
17.332          	-1.69641540e-01
17.532          	-1.69641540e-01
17.732          	-1.69641540e-01
17.932          	-1.69641540e-01
18.132          	-2.22464116e-01
18.332          	-2.22464116e-01
18.532          	-2.22464116e-01
18.732          	-2.22464116e-01
18.932          	-2.22464116e-01
19.132          	-2.22464116e-01
19.332          	-2.22464116e-01
19.532          	-2.22464116e-01
19.732          	-2.22464116e-01
19.932          	-2.22464116e-01
20.132          	-1.66780044e-01
20.332          	-1.66780044e-01
20.532          	-1.66780044e-01
20.732          	-1.66780044e-01
20.932          	-1.66780044e-01
21.132          	-1.66780044e-01
21.332          	-1.66780044e-01
21.532          	-1.66780044e-01
21.732          	-1.66780044e-01
21.932          	-1.66780044e-01
22.132          	-1.67796646e-01
22.332          	-1.67796646e-01
22.532          	-1.67796646e-01
22.732          	-1.67796646e-01
22.932          	-1.67796646e-01
23.132          	-1.67796646e-01
23.332          	-1.67796646e-01
23.532          	-1.67796646e-01
23.732          	-1.67796646e-01
23.932          	-1.67796646e-01
24.132          	-2.29684807e-01
24.332          	-2.29684807e-01
24.532          	-2.29684807e-01
24.732          	-2.29684807e-01
24.932          	-2.29684807e-01
25.132          	-2.29684807e-01
25.332          	-2.29684807e-01
25.532          	-2.29684807e-01
25.732          	-2.29684807e-01
25.932          	-2.29684807e-01
