# Region type : faceZone InSurface
# Faces  :      548
# Area   :      4.17307897e+01
# Time          	areaAverage(surfaceInterpolate(p))
0.002           
0.202           	0.00000000e+00
0.402           	0.00000000e+00
0.602           	1.37961943e-01
0.802           	1.37961943e-01
1.002           	1.37961943e-01
1.202           	2.33481210e-01
1.402           	2.33481210e-01
1.602           	2.94501645e-01
1.802           	2.94501645e-01
2.002           	2.94501645e-01
2.202           	2.81580937e-01
2.402           	2.81580937e-01
2.602           	2.78032938e-01
2.802           	2.78032938e-01
3.002           	2.78032938e-01
3.202           	2.60936281e-01
3.402           	2.60936281e-01
3.602           	2.50029041e-01
3.802           	2.50029041e-01
4.002           	2.50029041e-01
4.202           	2.28130788e-01
4.402           	2.28130788e-01
4.602           	2.13374286e-01
4.802           	2.13374286e-01
5.002           	2.13374286e-01
5.202           	2.13447825e-01
5.402           	2.13447825e-01
5.602           	2.19635176e-01
5.802           	2.19635176e-01
6.002           	2.19635176e-01
6.202           	2.34782573e-01
6.402           	2.34782573e-01
6.602           	2.48951425e-01
6.802           	2.48951425e-01
7.002           	2.48951425e-01
7.202           	2.35557096e-01
7.402           	2.35557096e-01
7.602           	2.24042842e-01
7.802           	2.24042842e-01
8.002           	2.24042842e-01
8.202           	2.14497569e-01
8.402           	2.14497569e-01
8.602           	1.96443990e-01
8.802           	1.96443990e-01
9.002           	1.96443990e-01
9.202           	1.57973794e-01
9.402           	1.57973794e-01
9.602           	1.48801285e-01
9.802           	1.48801285e-01
10.002          	1.48801285e-01
10.202          	1.79521472e-01
10.402          	1.79521472e-01
10.602          	2.15737124e-01
10.802          	2.15737124e-01
11.002          	2.15737124e-01
11.202          	2.14790348e-01
11.402          	2.14790348e-01
11.602          	2.24675655e-01
11.802          	2.24675655e-01
12.002          	2.24675655e-01
12.202          	2.20716902e-01
12.402          	2.20716902e-01
12.602          	2.34357262e-01
12.802          	2.34357262e-01
13.002          	2.34357262e-01
13.202          	2.27630554e-01
13.402          	2.27630554e-01
13.602          	2.06264878e-01
13.802          	2.06264878e-01
14.002          	2.06264878e-01
14.202          	1.80061461e-01
14.402          	1.80061461e-01
14.602          	1.54776306e-01
14.802          	1.54776306e-01
15.002          	1.54776306e-01
15.202          	1.52916388e-01
15.402          	1.52916388e-01
