# Region type : faceZone OutSurface
# Faces  :      513
# Area   :      3.88750286e+01
# Time          	areaAverage(surfaceInterpolate(p))
0.002           
0.202           	0.00000000e+00
0.402           	0.00000000e+00
0.602           	-3.42374518e-02
0.802           	-3.42374518e-02
1.002           	-3.42374518e-02
1.202           	-1.14292552e-01
1.402           	-1.14292552e-01
1.602           	-1.61442108e-01
1.802           	-1.61442108e-01
2.002           	-1.61442108e-01
2.202           	-1.37427637e-01
2.402           	-1.37427637e-01
2.602           	-1.22008873e-01
2.802           	-1.22008873e-01
3.002           	-1.22008873e-01
3.202           	-1.02143360e-01
3.402           	-1.02143360e-01
3.602           	-9.17900203e-02
3.802           	-9.17900203e-02
4.002           	-9.17900203e-02
4.202           	-7.30276857e-02
4.402           	-7.30276857e-02
4.602           	-5.83639030e-02
4.802           	-5.83639030e-02
5.002           	-5.83639030e-02
5.202           	-5.84060840e-02
5.402           	-5.84060840e-02
5.602           	-5.49079403e-02
5.802           	-5.49079403e-02
6.002           	-5.49079403e-02
6.202           	-4.92079628e-02
6.402           	-4.92079628e-02
6.602           	-6.54938006e-02
6.802           	-6.54938006e-02
7.002           	-6.54938006e-02
7.202           	-6.61780175e-02
7.402           	-6.61780175e-02
7.602           	-7.11233765e-02
7.802           	-7.11233765e-02
8.002           	-7.11233765e-02
8.202           	-8.52021845e-02
8.402           	-8.52021845e-02
8.602           	-1.18840091e-01
8.802           	-1.18840091e-01
9.002           	-1.18840091e-01
9.202           	-1.63096228e-01
9.402           	-1.63096228e-01
9.602           	-2.41684559e-01
9.802           	-2.41684559e-01
10.002          	-2.41684559e-01
10.202          	-3.34057589e-01
10.402          	-3.34057589e-01
10.602          	-3.57014739e-01
10.802          	-3.57014739e-01
11.002          	-3.57014739e-01
11.202          	-3.24130007e-01
11.402          	-3.24130007e-01
11.602          	-3.17740368e-01
11.802          	-3.17740368e-01
12.002          	-3.17740368e-01
12.202          	-3.19855503e-01
12.402          	-3.19855503e-01
12.602          	-3.43716495e-01
12.802          	-3.43716495e-01
13.002          	-3.43716495e-01
13.202          	-3.47851585e-01
13.402          	-3.47851585e-01
13.602          	-3.21848915e-01
13.802          	-3.21848915e-01
14.002          	-3.21848915e-01
14.202          	-2.84901677e-01
14.402          	-2.84901677e-01
