# Region type : faceZone InSurface
# Faces  :      527
# Area   :      4.09898267e+01
# Time          	areaAverage(surfaceInterpolate(p))
0.01            
0.21            	0.00000000e+00
0.41            	0.00000000e+00
0.61            	6.07836083e-02
0.81            	6.07836083e-02
1.01            	6.07836083e-02
1.21            	1.03005092e-01
1.41            	1.03005092e-01
1.61            	1.30871963e-01
1.81            	1.30871963e-01
2.01            	1.30871963e-01
2.21            	1.23973617e-01
2.41            	1.23973617e-01
2.61            	1.22342219e-01
2.81            	1.22342219e-01
3.01            	1.22342219e-01
3.21            	1.13278530e-01
3.41            	1.13278530e-01
3.61            	1.17103520e-01
3.81            	1.17103520e-01
4.01            	1.17103520e-01
4.21            	1.14211994e-01
4.41            	1.14211994e-01
4.61            	1.15516600e-01
4.81            	1.15516600e-01
5.01            	1.15516600e-01
5.21            	1.15594808e-01
5.41            	1.15594808e-01
5.61            	1.14478742e-01
5.81            	1.14478742e-01
6.01            	1.14478742e-01
6.21            	1.14913419e-01
6.41            	1.14913419e-01
6.61            	1.12956584e-01
6.81            	1.12956584e-01
7.01            	1.12956584e-01
7.21            	1.14561350e-01
7.41            	1.14561350e-01
7.61            	1.16089465e-01
7.81            	1.16089465e-01
8.01            	1.16089465e-01
8.21            	1.18772357e-01
8.41            	1.18772357e-01
8.61            	1.21490832e-01
8.81            	1.21490832e-01
9.01            	1.21490832e-01
9.21            	1.22298520e-01
9.41            	1.22298520e-01
9.61            	1.23024171e-01
9.81            	1.23024171e-01
10.01           	1.23024171e-01
10.21           	1.23448339e-01
10.41           	1.23448339e-01
10.61           	1.23757589e-01
10.81           	1.23757589e-01
11.01           	1.23757589e-01
11.21           	1.26344984e-01
11.41           	1.26344984e-01
11.61           	1.29259072e-01
11.81           	1.29259072e-01
12.01           	1.29259072e-01
12.21           	1.31531677e-01
12.41           	1.31531677e-01
12.61           	1.30126532e-01
12.81           	1.30126532e-01
13.01           	1.30126532e-01
13.21           	1.22006981e-01
13.41           	1.22006981e-01
13.61           	1.13310061e-01
13.81           	1.13310061e-01
14.01           	1.13310061e-01
14.21           	1.06481463e-01
14.41           	1.06481463e-01
14.61           	1.04231926e-01
14.81           	1.04231926e-01
15.01           	1.04231926e-01
15.21           	1.03813234e-01
15.41           	1.03813234e-01
15.61           	1.04588149e-01
15.81           	1.04588149e-01
16.01           	1.04588149e-01
16.21           	1.09394116e-01
16.41           	1.09394116e-01
16.61           	1.19086680e-01
16.81           	1.19086680e-01
17.01           	1.19086680e-01
17.21           	1.27091986e-01
17.41           	1.27091986e-01
17.61           	1.23040128e-01
17.81           	1.23040128e-01
18.01           	1.23040128e-01
18.21           	1.15962537e-01
18.41           	1.15962537e-01
18.61           	1.09748948e-01
18.81           	1.09748948e-01
19.01           	1.09748948e-01
19.21           	1.05192598e-01
19.41           	1.05192598e-01
19.61           	9.78760405e-02
19.81           	9.78760405e-02
20.01           	9.78760405e-02
20.21           	9.57710103e-02
20.41           	9.57710103e-02
20.61           	1.08581288e-01
20.81           	1.08581288e-01
21.01           	1.08581288e-01
21.21           	1.18286198e-01
21.41           	1.18286198e-01
21.61           	1.24557856e-01
21.81           	1.24557856e-01
22.01           	1.24557856e-01
22.21           	1.30453828e-01
22.41           	1.30453828e-01
22.61           	1.29368110e-01
22.81           	1.29368110e-01
23.01           	1.29368110e-01
23.21           	1.19449068e-01
23.41           	1.19449068e-01
23.61           	1.04091713e-01
23.81           	1.04091713e-01
24.01           	1.04091713e-01
24.21           	9.97547446e-02
24.41           	9.97547446e-02
24.61           	9.58006755e-02
24.81           	9.58006755e-02
25.01           	9.58006755e-02
25.21           	9.47724851e-02
25.41           	9.47724851e-02
25.61           	9.11479174e-02
