# Region type : faceZone OutSurface
# Faces  :      492
# Area   :      3.95884188e+01
# Time          	areaAverage(surfaceInterpolate(p))
0.01            
0.21            	0.00000000e+00
0.41            	0.00000000e+00
0.61            	-1.40045191e-02
0.81            	-1.40045191e-02
1.01            	-1.40045191e-02
1.21            	-4.95070725e-02
1.41            	-4.95070725e-02
1.61            	-7.10284041e-02
1.81            	-7.10284041e-02
2.01            	-7.10284041e-02
2.21            	-5.82405943e-02
2.41            	-5.82405943e-02
2.61            	-4.96501060e-02
2.81            	-4.96501060e-02
3.01            	-4.96501060e-02
3.21            	-3.53074273e-02
3.41            	-3.53074273e-02
3.61            	-3.25849811e-02
3.81            	-3.25849811e-02
4.01            	-3.25849811e-02
4.21            	-2.46667679e-02
4.41            	-2.46667679e-02
4.61            	-2.05573157e-02
4.81            	-2.05573157e-02
5.01            	-2.05573157e-02
5.21            	-1.67667134e-02
5.41            	-1.67667134e-02
5.61            	-1.25033557e-02
5.81            	-1.25033557e-02
6.01            	-1.25033557e-02
6.21            	-9.01885680e-03
6.41            	-9.01885680e-03
6.61            	-7.01791678e-03
6.81            	-7.01791678e-03
7.01            	-7.01791678e-03
7.21            	-8.90178090e-03
7.41            	-8.90178090e-03
7.61            	-1.05436062e-02
7.81            	-1.05436062e-02
8.01            	-1.05436062e-02
8.21            	-1.37597447e-02
8.41            	-1.37597447e-02
8.61            	-1.72382528e-02
8.81            	-1.72382528e-02
9.01            	-1.72382528e-02
9.21            	-1.88106134e-02
9.41            	-1.88106134e-02
9.61            	-1.88189421e-02
9.81            	-1.88189421e-02
10.01           	-1.88189421e-02
10.21           	-1.87505416e-02
10.41           	-1.87505416e-02
10.61           	-2.37106169e-02
10.81           	-2.37106169e-02
11.01           	-2.37106169e-02
11.21           	-3.65751472e-02
11.41           	-3.65751472e-02
11.61           	-5.17428262e-02
11.81           	-5.17428262e-02
12.01           	-5.17428262e-02
12.21           	-6.72273839e-02
12.41           	-6.72273839e-02
12.61           	-8.58254763e-02
12.81           	-8.58254763e-02
13.01           	-8.58254763e-02
13.21           	-1.07430458e-01
13.41           	-1.07430458e-01
13.61           	-1.53764625e-01
13.81           	-1.53764625e-01
14.01           	-1.53764625e-01
14.21           	-2.17127013e-01
14.41           	-2.17127013e-01
14.61           	-2.52661318e-01
14.81           	-2.52661318e-01
15.01           	-2.52661318e-01
15.21           	-2.35632708e-01
15.41           	-2.35632708e-01
15.61           	-2.02854677e-01
15.81           	-2.02854677e-01
16.01           	-2.02854677e-01
16.21           	-1.94556133e-01
16.41           	-1.94556133e-01
16.61           	-1.82734466e-01
16.81           	-1.82734466e-01
17.01           	-1.82734466e-01
17.21           	-1.68414747e-01
17.41           	-1.68414747e-01
17.61           	-1.74685036e-01
17.81           	-1.74685036e-01
18.01           	-1.74685036e-01
18.21           	-2.11608548e-01
18.41           	-2.11608548e-01
18.61           	-2.57235521e-01
18.81           	-2.57235521e-01
19.01           	-2.57235521e-01
19.21           	-2.86797611e-01
19.41           	-2.86797611e-01
19.61           	-2.80085649e-01
19.81           	-2.80085649e-01
20.01           	-2.80085649e-01
20.21           	-2.42583830e-01
20.41           	-2.42583830e-01
20.61           	-1.98983806e-01
20.81           	-1.98983806e-01
21.01           	-1.98983806e-01
21.21           	-1.44090808e-01
21.41           	-1.44090808e-01
21.61           	-1.05698888e-01
21.81           	-1.05698888e-01
22.01           	-1.05698888e-01
22.21           	-9.77922870e-02
22.41           	-9.77922870e-02
22.61           	-1.09227614e-01
22.81           	-1.09227614e-01
23.01           	-1.09227614e-01
23.21           	-1.26382274e-01
23.41           	-1.26382274e-01
23.61           	-1.47362005e-01
23.81           	-1.47362005e-01
