# Region type : faceZone InSurface
# Faces  :      1448
# Area   :      5.58176731e+01
# Time          	areaAverage(surfaceInterpolate(p))
0               	0.00000000e+00
0.1             	1.05696545e-01
0.2             	9.99425418e-02
0.3             	1.02296989e-01
0.4             	1.09593204e-01
0.5             	1.18813808e-01
0.9             	1.99366695e-01
1               	2.30410539e-01
1.5             	3.30981441e-01
2               	3.44379092e-01
2.2             	2.88089622e-01
2.5             	2.04829322e-01
3               	2.69405870e-01
3.5             	3.11348337e-01
4               	2.68093008e-01
4.5             	2.82683080e-01
5               	2.96030850e-01
5.5             	2.73024694e-01
6               	2.65528101e-01
6.1             	2.65108493e-01
6.5             	2.60520762e-01
7               	2.50434123e-01
7.5             	2.26294918e-01
8               	2.03892602e-01
8.5             	2.03294483e-01
9               	2.00208675e-01
9.5             	2.01111991e-01
10              	2.12673383e-01
10.5            	2.18282887e-01
11              	2.11821880e-01
11.5            	1.92409782e-01
12              	1.82563370e-01
12.5            	1.80879472e-01
13              	1.90470909e-01
13.5            	1.93673282e-01
14              	2.03416046e-01
14.5            	2.07771898e-01
15              	2.06680518e-01
15.5            	2.02420856e-01
16              	1.99531975e-01
16.5            	1.97558438e-01
17              	1.94231682e-01
17.5            	1.91842867e-01
18              	2.00706524e-01
18.5            	2.10889982e-01
19              	2.13171761e-01
19.5            	2.05014682e-01
20              	1.99141960e-01
20.5            	1.99187985e-01
21              	1.97757130e-01
21.5            	1.93118111e-01
22              	1.99259998e-01
22.5            	2.00949410e-01
23              	2.00489960e-01
23.5            	2.04871985e-01
24              	2.06957686e-01
24.5            	2.07181057e-01
25              	2.03473480e-01
25.5            	1.99904473e-01
26              	1.96340840e-01
26.5            	1.97014878e-01
27              	2.01801067e-01
27.5            	2.07748222e-01
28              	2.09665226e-01
28.5            	2.04382907e-01
29              	2.02442906e-01
29.5            	2.02958346e-01
30              	2.01557932e-01
30.5            	1.99254225e-01
31              	1.97839995e-01
31.5            	1.97744883e-01
32              	2.01297265e-01
32.5            	2.08437673e-01
33              	2.09086827e-01
33.5            	2.01197152e-01
34              	1.98564548e-01
34.5            	2.02256604e-01
35              	2.04741227e-01
35.5            	2.00193964e-01
36              	1.98269538e-01
36.5            	2.03453068e-01
37              	2.06810423e-01
37.5            	2.08766919e-01
38              	2.06773770e-01
38.5            	2.07651781e-01
39              	2.04490387e-01
39.5            	1.95471093e-01
40              	1.90508638e-01
40.5            	1.96014560e-01
41              	2.05276348e-01
41.5            	2.08286770e-01
42              	2.10467077e-01
42.5            	2.10097254e-01
43              	2.06992845e-01
43.5            	2.04448001e-01
44              	2.02443532e-01
44.5            	2.03917452e-01
45              	2.08854833e-01
45.5            	2.10820485e-01
46              	2.06233632e-01
46.5            	2.03856481e-01
47              	2.03680467e-01
47.5            	2.04913952e-01
48              	2.06722255e-01
48.5            	2.03645272e-01
49              	2.01797472e-01
49.5            	1.99938253e-01
50              	2.00166444e-01
50.5            	2.01370534e-01
51              	2.04444445e-01
51.5            	2.06342675e-01
52              	2.07975617e-01
52.5            	2.09161371e-01
53              	2.06176022e-01
53.5            	1.99615373e-01
54              	2.01423452e-01
54.5            	2.07429742e-01
55              	2.10039072e-01
55.5            	2.10599854e-01
56              	2.11050378e-01
56.5            	2.09237586e-01
57              	2.06950220e-01
57.5            	2.08783317e-01
58              	2.06698388e-01
58.5            	2.04576406e-01
59              	2.04114890e-01
59.5            	2.04876288e-01
60              	2.05067507e-01
60.5            	2.09566148e-01
61              	2.11651103e-01
61.5            	2.09154755e-01
62              	2.07177121e-01
62.5            	2.03091489e-01
63              	1.99783774e-01
63.5            	2.04516000e-01
64              	2.09924262e-01
64.5            	2.08779022e-01
65              	2.11489208e-01
65.5            	2.13955175e-01
66              	2.14399326e-01
66.5            	2.10089480e-01
67              	2.04963442e-01
67.5            	2.07769645e-01
68              	2.13340513e-01
68.5            	2.15213324e-01
69              	2.15393573e-01
69.5            	2.13810681e-01
70              	2.12681200e-01
70.5            	2.12889088e-01
71              	2.10920126e-01
71.5            	2.06963566e-01
72              	2.07566471e-01
72.5            	2.05300177e-01
73              	2.03931231e-01
73.5            	2.10976142e-01
74              	2.15290331e-01
74.5            	2.13408391e-01
75              	2.10285976e-01
75.5            	2.11879846e-01
76              	2.16875414e-01
76.5            	2.15169438e-01
77              	2.12195839e-01
77.5            	2.10629512e-01
78              	2.07730840e-01
78.5            	2.12618846e-01
79              	2.16856228e-01
79.5            	2.17701626e-01
80              	2.13049210e-01
80.5            	2.11094474e-01
81              	2.06363932e-01
