# Region type : faceZone OutSurface
# Faces  :      1628
# Area   :      4.10512472e+01
# Time          	areaAverage(surfaceInterpolate(p))
0               	0.00000000e+00
0.1             	4.95639372e-03
0.2             	9.27482122e-03         
0.3             	7.25511787e-03
0.4             	1.08620341e-03
0.5             	-6.72846218e-03
0.9             	-7.45915747e-02
1               	-1.00724228e-01
1.5             	-1.92648540e-01
2               	-2.07945480e-01
2.2             	-1.58514128e-01
2.5             	-7.70763214e-02
3               	-1.06459389e-01
3.5             	-1.42916389e-01
4               	-1.04924585e-01
4.5             	-9.86194912e-02
5               	-9.86082684e-02
5.5             	-6.96891324e-02
6               	-5.63193721e-02
6.1             	-5.67235300e-02
6.5             	-7.49331578e-02
7               	-1.08654105e-01
7.5             	-1.16661707e-01
8               	-1.06480858e-01
8.5             	-1.07737082e-01
9               	-1.20678997e-01
9.5             	-1.28358544e-01
10              	-1.43134148e-01
10.5            	-1.73381361e-01
11              	-2.08595105e-01
11.5            	-2.31451510e-01
12              	-2.51344816e-01
12.5            	-2.71220369e-01
13              	-2.86498008e-01
13.5            	-2.77763589e-01
14              	-2.73561115e-01
14.5            	-2.80034327e-01
15              	-2.98003150e-01
15.5            	-3.23466385e-01
16              	-3.49886462e-01
16.5            	-3.64694450e-01
17              	-3.65245368e-01
17.5            	-3.57562372e-01
18              	-3.55997886e-01
18.5            	-3.54075273e-01
19              	-3.46565124e-01
19.5            	-3.31926042e-01
20              	-3.21881702e-01
20.5            	-3.14945656e-01
21              	-3.01333820e-01
21.5            	-2.78159152e-01
22              	-2.60340958e-01
22.5            	-2.45694166e-01
23              	-2.33293152e-01
23.5            	-2.31052122e-01
24              	-2.35915567e-01
24.5            	-2.40888669e-01
25              	-2.41513207e-01
25.5            	-2.40901720e-01
26              	-2.33978191e-01
26.5            	-2.26654747e-01
27              	-2.19489099e-01
27.5            	-2.12101554e-01
28              	-2.09557147e-01
28.5            	-2.10877184e-01
29              	-2.17285412e-01
29.5            	-2.25312848e-01
30              	-2.26576726e-01
30.5            	-2.23462799e-01
31              	-2.17368330e-01
31.5            	-2.09154774e-01
32              	-2.07076823e-01
32.5            	-2.09801593e-01
33              	-2.14121474e-01
33.5            	-2.17205278e-01
34              	-2.22540259e-01
34.5            	-2.28518191e-01
35              	-2.23865705e-01
35.5            	-2.08355951e-01
36              	-1.96483268e-01
36.5            	-1.92478475e-01
37              	-1.92158128e-01
37.5            	-1.96932620e-01
38              	-2.03460116e-01
38.5            	-2.11895789e-01
39              	-2.15837589e-01
39.5            	-2.10799898e-01
40              	-2.05115251e-01
40.5            	-2.04712879e-01
41              	-2.04320769e-01
41.5            	-2.02370833e-01
42              	-1.99503061e-01
42.5            	-1.98180194e-01
